Name,Category,Address,PLZ,City,Phone,Fax,Email,Website,Verified,Need_New_Website,I_Made_Website,Wants_To_Buy,Status,Last_Contact,Notes
360 zahn Andrei Ilas,Stomatologie,Werdener Str. 6,40227,Düsseldorf,0211 2208360,,termin@360gradzahn.de,https://www.360gradzahn.de/team-mitglieder/andrei-ilas-2/,,,,,,,
Adrian Prellberg-Kaminski,Traduceri ro-de,Stapelholmer Straße 13,22049,Hamburg,0402 0976158,0175 4987389,translation@hpk-hamburg.com,http://www.hpk-hamburg.com/translation.htm,1,1.0,,,,,
Adrian Zidaru,Stomatologie,Landaubogen 1,81373,München,0897 439851,,praxis-zidaru@t-online.de,https://www.zahnarzt-am-westend.de/,,,,,,,
Adriana,Restaurant,Gabelsbergerstraße 125,86199,Augsburg,0821 97055,,info@adriana-restaurant.de,https://adriana-restaurant.de/,1,,,,,,
"Agenție de Finanțe, Contabilitate & Traduceri",,Waldstr 51,,,0157 73287976,,,,,,,,,,
Ala Perju,Traduceri ro-de,Bücher Straße 25,41844,Wegberg,0243 63839052 / 0152 37934930,0152 37934930,info@alaperju.com,http://www.alaperju.com,1,,,,,,
Alexa-Henriette Heintz,Traduceri ro-de,Erthalstraße 44,97074,Würzburg,0163 4463393,,info@heintz-translations.de,http://www.heintz-translations.de/,1,1.0,,,,,
Alexandra Stefanescu,Avocat,An der RaumFabrik 29,76227,Karlsruhe,0721 9196036,,stefanescu@kuentzle-rechtsanwaelte.de,http://www.kuentzle-rechtsanwaelte.de,1,,,,,,
Alexandra und Vasile Popa,Stomatologie,"Foltzring 1,",67227,Frankenthal,0623 344544,,info@zahnarztpraxis-dr-popa.de,https://www.zahnarztpraxis-dr-popa.de/,,,,,,,
All Clean,Curatenie,,,Ludwigshafen,0152 13328302,,,,,,,,,,
Allemann Liliana,Stomatologie,Josephspl. 20,90403,Nürnberg,0911 226636,,zahnart@dr-allemann.de,https://dr-allemann.de/,,,,,,,
Anca-Gabriela Hübner,Traduceri ro-de,Heckerstr. 55,49082,Osnabrück,0176 51077161,,info@ancahuebner.de,http://www.ancahuebner.de,1,,,,,,
Antonia Olariu,Traduceri ro-de,Schulstr. 4,78462,Konstanz,0753 18047404 / 0179 7049559,,antonia@olariu.de,http://www.olariu.de,1,,,,,,
BBVA Credit,Credite,,,,0152 10205677,,bbvacredit49@gmail.com,,,,,,,,
Bianca Krakkai,Avocat,Behlertstr. 35,14467,Potsdam,0331 6208014,0331-6208011,law@krakkai.de,http://www.krakkai.de,1,1.0,,,,,
Buchhaltungsbüro Dr. Adela Breuer,Contabil,Vilshofener Straße 12,94496,Ortenburg,0854 29193980,,breuer@datac.de,https://www.xn--breuer-buchfhrungsbro-kich.de/,,,,,,,
Büroservice Daniel,Contabil,Hertzbergstr.20,12055,Berlin,0306 0059433,,biuro@biuro-daniel.de,http://www.biuro-daniel.de/ro/,1,,,,,,
